#Person location Sublocation StartTime EndTime Type
507184 99507184 1001 86380 86390 1
507211 99507211 1001 86380 86390 1
507148 99507148 1001 86380 86390 1
506990 99506990 1001 86380 86390 1
507567 99507567 1001 86380 86390 1
507534 99507534 1001 86380 86390 1
507612 99507612 1001 86380 86390 1
508148 99508148 1001 86380 86390 1
508099 99508099 1001 86380 86390 1
508182 99508182 1001 86380 86390 1
508067 99508067 1001 86380 86390 1
507929 99507929 1001 86380 86390 1
507866 99507866 1001 86380 86390 1
507712 99507712 1001 86380 86390 1
508312 99508312 1001 86380 86390 1
508430 99508430 1001 86380 86390 1
508304 99508304 1001 86380 86390 1
508411 99508411 1001 86380 86390 1
509031 99509031 1001 86380 86390 1
508879 99508879 1001 86380 86390 1
509067 99509067 1001 86380 86390 1
508860 99508860 1001 86380 86390 1
508770 99508770 1001 86380 86390 1
508784 99508784 1001 86380 86390 1
508824 99508824 1001 86380 86390 1
508842 99508842 1001 86380 86390 1
508650 99508650 1001 86380 86390 1
